"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
312,2,19182.53353,5560.00712,170.28146,4739.65269,148.38722,36.37253,14.568
313,2,19293.09702,6133.31186,157.10471,5725.99717,259.72335,53.91336,15.1273
314,2,19382.6934,14466.07291,144.69706,2803.57891,122.29499,33.09764,16.28779
315,2,19446.61854,1480.59872,81.08479,1473.4391,147.40992,37.76548,11.76935
316,2,19437.32578,9386.56198,221.63524,6577.92322,87.9187,29.9487,14.61167
317,2,19459.56674,16801.18784,109.17175,1501.3356,143.28695,24.13424,13.09002
318,2,19449.16059,1539.90452,143.64056,3125.20891,119.41709,42.41583,18.31879
319,2,19997.92702,7277.9183,18.80578,260.68959,124.94205,18.86564,4.66583
320,3,2048.65327,16078.5658,222.16925,4847.9138,53.1424,26.8515,17.81388
321,3,2204.40469,15707.79356,105.22342,2852.96865,89.80013,23.49444,6.53161
